Name,Exp_a,Exp_b,Exp_c,Exp_alpha,Exp_beta,Exp_gamma,Exp_Vol,DFT_a,DFT_b,DFT_c,DFT_alpha,DFT_beta,DFT_gamma,DFT_Vol,128_2_6_a,128_2_6_b,128_2_6_c,128_2_6_alpha,128_2_6_beta,128_2_6_gamma,128_2_6_Vol,64_3_6_a,64_3_6_b,64_3_6_c,64_3_6_alpha,64_3_6_beta,64_3_6_gamma,64_3_6_Vol,Error_DFT_vs_Exp(%),Error_128_2_6_vs_DFT(%),Error_64_3_6_vs_DFT(%),Error_128_2_6_vs_Exp(%),Error_64_3_6_vs_Exp(%)
CEXDOC,7.057417,9.582199999999998,16.2244,81.6037,89.5776,77.3027,1058.5329372973508,6.94962215384493,9.568127645896315,16.13673729509542,80.88443103038131,88.76614248011958,76.2762466868499,1029.0682238718366,7.030700599395976,9.51614726558283,16.013783846858264,81.35698535792378,89.36514499800407,77.23731962864285,1032.7961273568208,7.028459890150484,9.505086489154113,16.01925466292477,81.34131069995782,89.54316074041613,77.3963723579614,1032.1493485567732,-2.783542428140555,0.36226009107132223,0.29940917554950885,-2.4313660004044237,-2.4924674340262127
CEXJEY,9.2208,9.7378,12.2109,109.48299999999999,96.893,90.45118,1024.8238419559589,9.01436037262909,9.424570803528463,11.959393421523217,108.09114172663533,95.70281650423075,91.30590309068135,959.4722753722255,8.962582464804305,9.363419447472303,12.004249929326003,108.95629100760452,94.64009039274775,90.35065810845327,949.0831982407433,8.98811268267815,9.507115704564495,11.980518249832333,109.33405041794225,96.22748406331453,90.04334605938196,959.5782227539105,-6.376858530047924,-1.0827907588524894,0.011042255665380146,-7.3906012540319574,-6.36652042340485
CEXLEA,8.4402,8.9672,14.7684,83.79460000000002,77.3245,85.16359999999999,1081.9975259592907,8.266157142445277,8.983325100965287,14.42671097738878,83.76929669760595,76.54718744218911,84.3577460860414,1032.7816428099686,8.345614771219617,9.002770735812533,14.687520442415838,84.08619640207921,77.8970416691427,86.08023492836193,1072.0149608220138,8.306313238210704,9.062136059565956,14.670897214352697,84.48183971317658,76.80017748934713,87.47637565068395,1069.8848522288079,-4.548613279470083,3.7988008680421603,3.5925512112986127,-0.9226051721723129,-1.119473329640362
CEYHAS,10.75343,11.19763,11.42673,94.72958,116.00165999999999,96.50198,1215.185155354631,10.646025961908242,11.140602044849137,11.049509750609307,93.15745468400874,115.91827368987992,97.28867285797494,1160.1612984160797,10.556322708230454,11.009950896012679,11.201522961746226,94.46476862648109,115.54971770299407,96.77901009106291,1154.2622731816205,10.583551432380434,11.033606608021552,11.240948020911983,94.53944677358459,115.65300114029237,96.81874571714172,1162.3397415035522,-4.528022474278291,-0.5084659557695085,0.18777070830121861,-5.013464977296503,-4.3487540658490635
CEZGOG,10.163519,20.7914,10.554719,90.0,102.64119999999998,90.0,2176.293008547956,10.052568948619092,20.70608629897038,10.424932532984096,90.0,104.19142347023693,90.0,2103.7208425666895,10.05512627510839,20.545431996827084,10.432835197454082,90.00000288310468,102.75300509257256,89.99999677194397,2102.117885927855,10.022963217209574,20.478714385953936,10.399053182952859,89.9999996044521,102.85113395079841,89.99999973553027,2081.016494355531,-3.334668893215232,-0.07619626170927653,-1.0792471962894838,-3.4083242618874965,-4.377926768969153
CIDRIT,12.5787,13.2628,15.6279,90.0,109.993,90.0,2450.0600467056847,12.604924152592114,12.99739865228902,15.628848047456135,90.0,110.04868942196946,90.0,2405.3316027699198,12.496415353611273,13.139985930227157,15.539950076508912,90.00000005470565,109.93029356331886,90.00000082420452,2398.8756336378387,12.539704392892151,13.1776686847405,15.566799187244609,89.99999941302214,110.00268470033943,90.00000018675775,2417.1500730156904,-1.8256060293667573,-0.2684024574676721,0.49134473733936673,-2.0891085153879314,-1.3432313111772345
CIGDED,9.00724,10.14534,11.23615,69.11020000000002,81.1582,69.8942,900.2575958256126,8.940047737699485,10.120697274461103,11.21145340325868,68.43891961353043,80.0663476431956,69.61602248610247,883.1941149277968,8.920395582393228,10.05274111484139,11.212517873665938,69.01760575027761,81.21899589003648,69.92295371410944,881.2471352831915,8.951120714660718,10.056653750518418,11.252855341261196,68.9257750034714,81.44064430152251,70.01775049688248,887.9191957522803,-1.8953998252208175,-0.2204475337524758,0.5349991292536829,-2.111668996803845,-1.3705410685279416
CIHDUV,12.209416,13.492018,13.208418000000002,90.0,91.9202,90.0,2174.5964134946353,12.065836928117369,13.361256902177402,13.137255575140465,90.0,91.48591973400526,90.0,2117.2071353719575,12.052538441368926,13.290314261451607,13.056801978044783,90.00029185801789,91.6979174713251,89.99345910394749,2090.546664762666,12.05599244635125,13.286974117717566,13.072990115025355,89.99526744278273,91.43508063410684,89.99396507200468,2093.474832705261,-2.6390771991779216,-1.2592282617925281,-1.1209249331443887,-3.8650734550278787,-3.7304200579917963
CIKKUE,17.76434,8.02822,18.59267,90.0,111.59621,90.0,2465.4717724478746,17.1869140917765,7.927414761158867,18.53304961083156,90.0,112.76299850520768,90.0,2328.4162524853086,17.5226464036955,7.884113973383602,18.35371701563364,89.99999846940406,111.50709101631631,90.00000118733583,2359.0293724473295,17.473516750653136,7.915570211885536,18.284874402062183,89.99998472466795,111.45079953295068,90.00001259277731,2353.8518604303413,-5.558997733991037,1.3147614791532642,1.0923995191101739,-4.31732381567129,-4.527324679394326
CIMCEI,9.146918,10.3682,12.0922,86.48299999999999,88.753,75.413,1107.709822435682,9.131825228547862,10.35439170451548,12.070430986250747,86.49825074993566,88.71199050051209,75.35349084256738,1102.1347584765715,9.133717751900463,10.305705867920707,12.06246160661637,86.38774205511311,88.6713099636992,75.49443461796459,1097.0224323052103,9.190401621336266,10.359181369667755,12.14677742625974,86.50049153610995,88.59404283667931,75.29727418174862,1116.4329826769806,-0.5032964271140878,-0.463856722786583,1.2973208666581617,-0.9648185755879575,0.7874950699739779
CINSID,11.5938,4.7665,22.783,90.0,93.389,90.0,1256.8288776787256,11.548173058991448,4.458844452579696,22.690198368878942,90.0,92.10966428596154,90.0,1167.5606059867268,11.444664511451258,4.553464118996793,22.34662979397674,89.99999908668855,91.8855427730157,89.99999822108843,1163.9164517495367,11.423026159688856,4.548585028175189,22.421609674149213,89.99999237323146,91.90800018153605,90.0000020082891,1164.3496770820323,-7.102659182757715,-0.31211692296781535,-0.27501175427043195,-7.392607504435417,-7.3581377894097955
CIRLIA,11.84631,13.189011,17.353214,90.0,91.80020000000002,90.0,2709.947314738695,11.775668341047991,12.891870977056726,17.20957130554956,90.0,92.07203984316547,90.0,2610.883625326485,11.690001362176925,12.945573362847583,17.057680503608285,89.99999595352365,92.63171575690367,90.00000029863712,2578.680512714309,11.874272754249477,12.786132054972747,17.031105255619114,90.00000261321794,95.06010720150064,90.00000029764198,2575.6874623600083,-3.6555577620800377,-1.2334181539075342,-1.3480556017534238,-4.8438876029235,-4.954334412646409
CIRNIC,6.68653,7.21664,10.58035,85.2533,86.5773,83.7733,505.1310311325597,6.653478740012938,7.154731903106501,10.529854565112856,85.14981606851498,86.41256469996762,83.63521217214904,495.6713792730137,6.602205899687223,7.1892638407525284,10.549144525251075,85.32033197382175,86.55440417401731,82.9667386948393,494.65478925727984,6.629238065159117,7.1878959043028905,10.541139598865916,85.35670033622833,86.63234371390155,83.193267797126,496.4975998122496,-1.872712479836452,-0.205093547508204,0.16668715882842683,-2.073965214885131,-1.70914689223369
CIRTEC01,8.51912,24.90114,9.5926,90.0,113.46900000000001,90.0,1866.595360684473,8.467018046347869,24.60198622317096,9.571493996162522,90.0,114.17010596772828,90.0,1819.0062251835877,8.40398175853285,24.417496940303682,9.427936174565954,89.9999990624337,113.1192908784138,89.99999783460358,1779.2789218581413,8.440855713193448,24.49148722594504,9.467027411095133,90.000000070588,113.25381220962923,89.99999832827368,1798.1241964437847,-2.5495153638137475,-2.184011400039978,-1.1479910541645024,-4.677845057662262,-3.668238209677119
CIRWAC,12.39753,13.74843,12.94253,90.0,113.32301000000001,90.0,2025.7512094263284,12.351481205564044,13.718737987616473,12.57680905978532,90.0,113.28967104169507,90.0,1957.4523009479872,12.322519841706201,13.674016709966152,12.846664753083227,90.00125921841563,113.38978493709288,89.99362685322917,1986.7631713707613,12.302260454975057,13.663023264939845,12.86161686501244,89.99512649869901,113.41215726062195,90.01099550034336,1983.8735118475477,-3.3715348736078385,1.4973989613222727,1.3497754651168152,-1.9246212404635876,-2.0672675590128393
CITTEH,7.54263,9.14594,12.65727,92.6124,100.41040000000001,100.1734,842.5667233728342,7.504135744746973,9.134913613318394,12.579440193835051,92.21025783722777,100.31438701503258,99.94578801213032,833.4799176942952,7.440911438556195,9.14908381777756,12.596342636445247,91.94726708695211,100.50004145909578,100.79932277468698,826.1724815190101,7.5488494950699305,9.225609205070185,12.528922156272438,92.8057978098798,100.30713457320591,100.62130251637899,840.7258150425301,-1.078467191555358,-0.8767381217174406,0.8693547612136495,-1.9457499802742175,-0.21848813621962226
CITVAF,7.50063,11.44384,16.32128,90.0,101.89939999999999,90.0,1370.8486586208369,7.429210716047963,11.38249489749808,16.33073656189255,90.0,102.07368328677839,90.0,1350.4273266361852,7.444403895363435,11.300431721367184,16.37482668189597,89.99999987961918,101.54661147666562,89.99999884289505,1349.6537033798336,7.678569817673809,12.075100378267836,16.573318432034466,89.99999736370627,100.36877961695535,90.00000627922229,1511.575524614381,-1.4896853752767214,-0.05728729277706654,11.933126263047724,-1.546119267631396,10.265674851017074
CIWDAO,24.6105,7.5885,11.2895,90.0,90.0,90.0,2108.390659342875,24.303576982519555,7.426041535034142,11.117489556810483,90.0,90.0,90.0,2006.4775347870473,24.009711160484372,7.507575902698573,11.1420978324462,89.99952266083967,89.99975856874846,89.99954036241546,2008.415824449543,24.047511741272537,7.494708148410171,11.128385212253894,89.99999953462914,89.9999997889436,90.00000000983866,2005.6586531314467,-4.833692660523892,0.0966016129705324,-0.04081190252087447,-4.741760472629463,-4.872531841107994
CIWNOL,16.8413,9.9983,7.7762,113.642,99.722,100.03200000000001,1139.0402176611965,16.166968960349326,9.824930543269808,7.558838759161493,111.76399548351972,105.60091003431984,97.84897348642964,1035.8327882968802,16.375518948500815,10.076897465570196,7.242378133858517,113.20298776303348,97.81249337728923,101.0422779809092,1048.0762571424311,16.21197138646246,10.007545461450539,7.364452887369764,115.21216685028847,97.60708901748364,103.23121105311361,1015.8283094737892,-9.060911789070387,1.1819927872414362,-1.9312459548594114,-7.986018325634071,-10.817169251529997
CIXHOH,11.46422,14.38703,11.16912,90.0,117.70100999999998,90.0,1631.0489291295787,11.524098628748517,13.980666295179036,11.127641411611677,90.0,116.72618852504976,90.0,1601.2904105660773,11.423778623082466,14.137669543952331,11.074937640260028,89.99999937766756,116.70620553812621,89.99999983013967,1597.8546583629945,11.43167798985842,14.015880545160059,11.052035807159498,90.00000121114927,116.18785354771134,89.99999951822602,1589.0423165802042,-1.824501891514822,-0.21456146745225138,-0.7648889860986066,-2.0351486809349453,-2.575435463594071
CIXRIN,12.42025,12.31424,15.55856,90.0,112.8634,90.0,2192.6609528272033,12.378433420280322,12.188425724577721,15.48793962123992,90.0,112.66664302735917,90.0,2156.2391778801393,12.254066229732473,12.243409981898372,15.410771958683531,90.00000006017143,112.44074872374111,89.99999973063869,2137.0176740288216,12.37645866467602,12.26517713602012,15.50532932237106,89.99999993466409,112.63210488297364,89.99999994062856,2172.4532538928897,-1.6610764605490884,-0.8914365367489024,0.7519609224747941,-2.5377055548253207,-0.9216061839500509
CIXROT,7.6117016,16.09224,20.61685,90.0,90.0,90.0,2525.344121677932,7.530450666022031,16.074897740678004,20.577234242142726,90.0,90.0,90.0,2490.899399726051,7.549034536253522,15.931916850041334,20.60463632277785,90.00000016150716,89.99999974032303,89.99999980439233,2478.1317781898183,7.610128617967341,16.062115331310967,20.558265262322465,90.00000022548295,89.99999983399836,90.00000010650571,2512.934693295026,-1.3639615154308058,-0.5125707420234139,0.8846320157047968,-1.8695409897936621,-0.49139553997340213
